,VS,dij_list
358,Atopobium_vs_Acyrthosiphon,1.0
359,Atopobium_vs_Adlercreutzia,0.9966077282583513
360,Atopobium_vs_Aerococcus,1.0
361,Atopobium_vs_Afipia,1.0
362,Atopobium_vs_Akkermansia,0.9963072186247214
363,Atopobium_vs_Alistipes,0.9970628876345038
364,Atopobium_vs_Alkaliphilus,1.0
365,Atopobium_vs_Alloprevotella,1.0
366,Atopobium_vs_Amycolatopsis,1.0
367,Atopobium_vs_Anaerobium,1.0
368,Atopobium_vs_Anaerococcus,1.0
369,Atopobium_vs_Anaerofustis,1.0
370,Atopobium_vs_Anaeroglobus,1.0
371,Atopobium_vs_Anaerosporomusa,1.0
372,Atopobium_vs_Anaerostipes,1.0
373,Atopobium_vs_Anaerotruncus,0.9880937340706293
374,Atopobium_vs_Anaerovibrio,1.0
375,Atopobium_vs_Arcobacter,1.0
376,Atopobium_vs_Ascaris,1.0
377,Atopobium_vs_Asticcacaulis,1.0
378,Azospirillum_vs_Acetivibrio,1.0
379,Azospirillum_vs_Acetoanaerobium,1.0
380,Azospirillum_vs_Acidaminococcus,1.0
381,Azospirillum_vs_Acidimicrobium,1.0
382,Azospirillum_vs_Acidobacterium,1.0
383,Azospirillum_vs_Aciduliprofundum,1.0
384,Azospirillum_vs_Actinomyces,1.0
385,Azospirillum_vs_Acyrthosiphon,1.0
386,Azospirillum_vs_Adlercreutzia,1.0
387,Azospirillum_vs_Aerococcus,1.0
388,Azospirillum_vs_Afipia,1.0
389,Azospirillum_vs_Akkermansia,1.0
390,Azospirillum_vs_Alistipes,1.0
391,Azospirillum_vs_Alkaliphilus,1.0
392,Azospirillum_vs_Alloprevotella,1.0
393,Azospirillum_vs_Amycolatopsis,1.0
394,Azospirillum_vs_Anaerobium,1.0
395,Azospirillum_vs_Anaerococcus,1.0
396,Azospirillum_vs_Anaerofustis,1.0
397,Azospirillum_vs_Anaeroglobus,1.0
398,Azospirillum_vs_Anaerosporomusa,1.0
399,Azospirillum_vs_Anaerostipes,1.0
400,Azospirillum_vs_Anaerotruncus,1.0
401,Azospirillum_vs_Anaerovibrio,1.0
402,Azospirillum_vs_Arcobacter,1.0
403,Azospirillum_vs_Ascaris,1.0
404,Azospirillum_vs_Asticcacaulis,1.0
405,Azospirillum_vs_Atopobium,1.0
406,Bacillus_vs_Acetivibrio,1.0
407,Bacillus_vs_Acetoanaerobium,1.0
408,Bacillus_vs_Acidaminococcus,1.0
409,Bacillus_vs_Acidimicrobium,1.0
410,Bacillus_vs_Acidobacterium,1.0
411,Bacillus_vs_Aciduliprofundum,1.0
412,Bacillus_vs_Actinomyces,1.0
413,Bacillus_vs_Acyrthosiphon,1.0
414,Bacillus_vs_Adlercreutzia,1.0
415,Bacillus_vs_Aerococcus,1.0
416,Bacillus_vs_Afipia,1.0
417,Bacillus_vs_Akkermansia,1.0
418,Bacillus_vs_Alistipes,0.9997704797385696
419,Bacillus_vs_Alkaliphilus,1.0
420,Bacillus_vs_Alloprevotella,1.0
421,Bacillus_vs_Amycolatopsis,1.0
422,Bacillus_vs_Anaerobium,1.0
423,Bacillus_vs_Anaerococcus,1.0
424,Bacillus_vs_Anaerofustis,1.0
425,Bacillus_vs_Anaeroglobus,1.0
426,Bacillus_vs_Anaerosporomusa,1.0
427,Bacillus_vs_Anaerostipes,1.0
428,Bacillus_vs_Anaerotruncus,1.0
429,Bacillus_vs_Anaerovibrio,1.0
430,Bacillus_vs_Arcobacter,1.0
431,Bacillus_vs_Ascaris,1.0
432,Bacillus_vs_Asticcacaulis,1.0
433,Bacillus_vs_Atopobium,1.0
434,Bacillus_vs_Azospirillum,1.0
435,Bacteroides_vs_Acetivibrio,0.9996259203704093
436,Bacteroides_vs_Acetoanaerobium,0.9998795754580196
437,Bacteroides_vs_Acidaminococcus,0.9978582418688611
438,Bacteroides_vs_Acidimicrobium,0.9999308905764613
439,Bacteroides_vs_Acidobacterium,0.9991144792541172
440,Bacteroides_vs_Aciduliprofundum,0.9990872320587768
441,Bacteroides_vs_Actinomyces,0.9569673121881368
442,Bacteroides_vs_Acyrthosiphon,1.0
443,Bacteroides_vs_Adlercreutzia,0.9615777657891215
444,Bacteroides_vs_Aerococcus,0.9775186745055782
445,Bacteroides_vs_Afipia,0.9932871437052271
446,Bacteroides_vs_Akkermansia,0.9070785459123019
447,Bacteroides_vs_Alistipes,0.6736998384497235
448,Bacteroides_vs_Alkaliphilus,1.0
449,Bacteroides_vs_Alloprevotella,0.9987247243012921
450,Bacteroides_vs_Amycolatopsis,0.9932871437052271
451,Bacteroides_vs_Anaerobium,0.9985515473468259
452,Bacteroides_vs_Anaerococcus,0.990774434888411
453,Bacteroides_vs_Anaerofustis,0.9902589266001616
454,Bacteroides_vs_Anaeroglobus,0.9996027904878149
455,Bacteroides_vs_Anaerosporomusa,0.999219611426672
456,Bacteroides_vs_Anaerostipes,0.9844436133683692
457,Bacteroides_vs_Anaerotruncus,0.9908990129247505
458,Bacteroides_vs_Anaerovibrio,0.9973339413232735
459,Bacteroides_vs_Arcobacter,1.0
460,Bacteroides_vs_Ascaris,0.9994433455293716
461,Bacteroides_vs_Asticcacaulis,1.0
462,Bacteroides_vs_Atopobium,0.9996745574403202
463,Bacteroides_vs_Azospirillum,0.9986416581649541
464,Bacteroides_vs_Bacillus,0.9971158591896775
465,Barnesiella_vs_Acetivibrio,1.0
466,Barnesiella_vs_Acetoanaerobium,1.0
467,Barnesiella_vs_Acidaminococcus,0.9879986075680239
468,Barnesiella_vs_Acidimicrobium,1.0
469,Barnesiella_vs_Acidobacterium,1.0
470,Barnesiella_vs_Aciduliprofundum,1.0
471,Barnesiella_vs_Actinomyces,1.0
472,Barnesiella_vs_Acyrthosiphon,1.0
473,Barnesiella_vs_Adlercreutzia,0.9901531793913945
474,Barnesiella_vs_Aerococcus,1.0
475,Barnesiella_vs_Afipia,1.0
476,Barnesiella_vs_Akkermansia,0.9973043638099292
477,Barnesiella_vs_Alistipes,0.9419501813437472
478,Barnesiella_vs_Alkaliphilus,1.0
479,Barnesiella_vs_Alloprevotella,1.0
480,Barnesiella_vs_Amycolatopsis,1.0
481,Barnesiella_vs_Anaerobium,1.0
482,Barnesiella_vs_Anaerococcus,1.0
483,Barnesiella_vs_Anaerofustis,1.0
484,Barnesiella_vs_Anaeroglobus,1.0
485,Barnesiella_vs_Anaerosporomusa,0.9915753791671709
486,Barnesiella_vs_Anaerostipes,1.0
487,Barnesiella_vs_Anaerotruncus,1.0
488,Barnesiella_vs_Anaerovibrio,1.0
489,Barnesiella_vs_Arcobacter,1.0
490,Barnesiella_vs_Ascaris,1.0
491,Barnesiella_vs_Asticcacaulis,1.0
492,Barnesiella_vs_Atopobium,1.0
493,Barnesiella_vs_Azospirillum,1.0
494,Barnesiella_vs_Bacillus,1.0
495,Barnesiella_vs_Bacteroides,0.9469237097282085
496,Bifidobacterium_vs_Acetivibrio,0.9995595882112103
497,Bifidobacterium_vs_Acetoanaerobium,1.0
498,Bifidobacterium_vs_Acidaminococcus,0.9968331242421251
499,Bifidobacterium_vs_Acidimicrobium,0.9993786189244194
500,Bifidobacterium_vs_Acidobacterium,1.0
501,Bifidobacterium_vs_Aciduliprofundum,1.0
502,Bifidobacterium_vs_Actinomyces,0.9353192260350702
503,Bifidobacterium_vs_Acyrthosiphon,1.0
504,Bifidobacterium_vs_Adlercreutzia,0.9501646028828761
505,Bifidobacterium_vs_Aerococcus,0.9799422592051885
506,Bifidobacterium_vs_Afipia,1.0
507,Bifidobacterium_vs_Akkermansia,0.8408502948297323
508,Bifidobacterium_vs_Alistipes,0.8525090663118905
509,Bifidobacterium_vs_Alkaliphilus,1.0
510,Bifidobacterium_vs_Alloprevotella,0.9982562865373805
511,Bifidobacterium_vs_Amycolatopsis,1.0
512,Bifidobacterium_vs_Anaerobium,1.0
513,Bifidobacterium_vs_Anaerococcus,0.9865334248596825
514,Bifidobacterium_vs_Anaerofustis,0.979191137708927
515,Bifidobacterium_vs_Anaeroglobus,1.0
516,Bifidobacterium_vs_Anaerosporomusa,1.0
517,Bifidobacterium_vs_Anaerostipes,0.9891069526765723
518,Bifidobacterium_vs_Anaerotruncus,0.9748860305595745
519,Bifidobacterium_vs_Anaerovibrio,1.0
520,Bifidobacterium_vs_Arcobacter,1.0
521,Bifidobacterium_vs_Ascaris,1.0
522,Bifidobacterium_vs_Asticcacaulis,1.0
523,Bifidobacterium_vs_Atopobium,0.9962849722420324
524,Bifidobacterium_vs_Azospirillum,1.0
525,Bifidobacterium_vs_Bacillus,1.0
526,Bifidobacterium_vs_Bacteroides,0.8334699225393162
527,Bifidobacterium_vs_Barnesiella,0.9865112892867474
528,Bilophila_vs_Acetivibrio,1.0
529,Bilophila_vs_Acetoanaerobium,1.0
530,Bilophila_vs_Acidaminococcus,0.9982662019668204
